Index,Displacement,Force,Time
586,0.031892,142.2365,57.3999599999997
587,0.031763,142.2731,57.5999860000002
588,0.031944,142.1936,57.7999760000002
589,0.03153,142.2814,57.9999299999999
590,0.032491,142.2631,58.2000020000005
591,0.031408,142.3242,58.4000649999998
592,0.0321,142.2385,58.6000359999998
593,0.031444,142.2175,58.7999879999998
594,0.031584,142.0917,59.0000209999998
595,0.032139,142.1843,59.2000170000001
596,0.031501,142.0558,59.3999140000005
597,0.031418,142.1022,59.600015
598,0.031244,142.1238,59.8000400000001
599,0.031428,142.0004,60.0000070000006
600,0.031166,142.0016,60.2000509999998
601,0.031416,141.8958,60.3999890000005
602,0.030937,141.8787,60.5999879999999
603,0.032264,141.6988,60.7999920000002
604,0.031971,141.5601,61.0000129999999
605,0.032283,141.6449,61.20003
606,0.032825,141.6322,61.4000640000004
607,0.032217,141.5399,61.6000960000001
608,0.030852,141.3046,61.8000069999998
609,0.031794,141.3112,62.0000060000002
610,0.031327,141.2769,62.1999919999998
611,0.031435,141.1133,62.3999659999999
612,0.031549,141.0983,62.5999840000004
613,0.031332,141.0589,62.8000540000003
614,0.031871,141.0012,62.9999280000002
615,0.031713,141.009,63.2000500000004
616,0.03169,140.9863,63.399977
617,0.031289,140.9325,63.5999870000005
618,0.031719,140.919,63.8000259999999
619,0.032065,140.9018,64.0000060000002
620,0.030941,140.9757,64.199963
621,0.030985,140.8666,64.4000020000003
622,0.031473,140.8137,64.6000380000005
623,0.031761,140.8314,64.8000330000004
624,0.031285,140.6917,65.0000540000001
625,0.031375,140.4836,65.2000010000002
626,0.031007,140.436,65.4000649999998
627,0.031863,140.3585,65.6000739999999
628,0.03061,140.3824,65.8000170000005
629,0.030731,140.321,66.0000369999998
630,0.032102,140.459,66.199944
631,0.03063,140.5705,66.3999860000004
632,0.030981,140.5358,66.6000650000005
633,0.030443,140.4992,66.8000510000002
634,0.031372,140.3919,66.999992
635,0.032151,140.4117,67.2001019999998
636,0.02997,140.4045,67.3999830000002
637,0.03112,140.4905,67.6000089999998
638,0.029742,140.5594,67.8000460000003
639,0.031988,140.4339,67.9999749999997
640,0.029823,140.3391,68.1999649999998
641,0.031552,140.3821,68.4000700000006
642,0.030899,140.4989,68.5999790000005
643,0.031577,140.5286,68.8000060000004
644,0.031204,140.5421,68.9999800000005
645,0.030672,140.6509,69.1999370000003
646,0.030062,140.7008,69.3999400000002
647,0.030051,140.7092,69.5999170000005
648,0.031119,140.8257,69.8000360000005
649,0.032396,140.8621,70.0000559999999
650,0.031496,140.9142,70.60005
651,0.030904,140.965,72.6000860000004
652,0.031818,140.8212,74.6000940000004
653,0.031798,140.3555,76.6000670000003
654,0.030474,139.9171,78.5999490000004
655,0.031444,139.4275,80.5999579999998
656,0.030575,139.0327,82.5999760000004
657,0.03127,138.8532,84.6000020000001
658,0.030882,138.8237,86.5999579999998
659,0.031171,138.5127,88.6000409999997
660,0.029127,138.4151,90.6000320000003
661,0.03154,138.477,92.5999460000003
662,0.029631,138.7152,94.600042
663,0.031963,138.6185,96.6000249999997
664,0.02944,138.5099,98.5999339999998
665,0.030418,138.2615,100.599993
666,0.030917,137.6242,102.599992
667,0.030197,137.0137,104.600097
668,0.030457,136.7643,106.599992
669,0.030044,136.2472,108.60001
670,0.030055,135.5075,110.599935
671,0.029907,134.7577,112.6
672,0.029678,134.428,114.6
673,0.02981,134.1078,116.60002
674,0.028973,133.6643,118.599961
675,0.027251,133.2888,120.599982
676,0.029396,133.2575,122.599951
677,0.028609,132.8626,124.599971000001
678,0.029898,132.3477,126.59999
679,0.029055,131.9058,128.600033
680,0.0287,131.4097,130.599996
681,0.029055,130.938,132.599992
682,0.028888,130.6484,134.600044
683,0.029358,130.0985,136.600086
684,0.029705,129.7067,138.600014000001
685,0.02965,129.4532,140.600062
686,0.029164,128.7813,142.600005
687,0.028848,128.1573,144.599975
688,0.028321,127.9837,146.600032
689,0.028552,127.7163,148.600032
690,0.02925,127.7514,150.600030000001
691,0.028672,127.1247,152.600011
692,0.028678,126.8262,154.599979000001
693,0.028276,126.6473,156.599973
694,0.02881,126.4405,158.599983
