Count,Filename_0_1,Filename_0_0,Time_0_1,Time_0_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,force,PIP,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
59,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000059_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000059_0.tif,4162.691339,4162.691655,0.001514,0.002125,0.003158,0.005787,-0.013933,0.007759,0.008416,0.007759,0.001514,0.002125,0.003158,0.005787,-0.013933,0.007759,0.008416,0.007759
60,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000060_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000060_0.tif,4165.291424,4165.291707,0.001843,0.002454,0.003815,0.005458,-0.012289,0.009402,0.009731,0.010059,0.001843,0.002454,0.003815,0.005458,-0.012289,0.009402,0.009731,0.010059
61,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000061_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000061_0.tif,4166.891394,4166.891645,0.001514,0.001139,0.003158,0.005787,-0.013933,0.007101,0.007759,0.007101,0.001514,0.001139,0.003158,0.005787,-0.013933,0.007101,0.007759,0.007101
62,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000062_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000062_0.tif,4168.891376,4168.891643,0.001186,0.001796,0.003158,0.004472,-0.013933,0.007759,0.007759,0.007759,0.001186,0.001796,0.003158,0.004472,-0.013933,0.007759,0.007759,0.007759
63,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000063_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000063_0.tif,4170.691343,4170.691640,0.001186,0.002619,0.003815,0.005458,-0.013604,0.008416,0.009073,0.008745,0.001186,0.002619,0.003815,0.005458,-0.013604,0.008416,0.009073,0.008745
64,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000064_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000064_0.tif,4174.291348,4174.291628,0.001186,0.001139,0.001186,0.003486,-0.017219,0.004472,0.004143,0.003158,0.001186,0.001139,0.001186,0.003486,-0.017219,0.004472,0.004143,0.003158
65,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000065_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000065_0.tif,4175.891461,4175.891708,0.001514,0.001632,0.001186,0.002172,-0.017876,0.003486,0.004143,0.005458,0.001514,0.001632,0.001186,0.002172,-0.017876,0.003486,0.004143,0.005458
66,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000066_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000066_0.tif,4177.691403,4177.691680,0.001514,0.001468,0.001843,0.003486,-0.018205,0.003158,0.003815,0.003158,0.001514,0.001468,0.001843,0.003486,-0.018205,0.003158,0.003815,0.003158
67,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000067_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000067_0.tif,4179.691436,4179.691627,0.001514,0.001139,0.002829,0.004143,-0.016562,0.005129,0.005787,0.005129,0.001514,0.001139,0.002829,0.004143,-0.016562,0.005129,0.005787,0.005129
68,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000068_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000068_0.tif,4182.691342,4182.691597,0.001186,0.000481,0.001843,0.003158,-0.018205,0.003486,0.004143,0.002829,0.001186,0.000481,0.001843,0.003158,-0.018205,0.003486,0.004143,0.002829
69,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000069_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000069_0.tif,4184.491570,4184.491608,0.001514,0.000646,0.001186,0.002172,-0.019520,0.002172,0.003158,0.002829,0.001514,0.000646,0.001186,0.002172,-0.019520,0.002172,0.003158,0.002829
70,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000070_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000070_0.tif,4186.291359,4186.291644,0.001514,-0.000012,0.000528,0.001186,-0.022478,-0.001444,-0.001115,-0.002430,0.001514,-0.000012,0.000528,0.001186,-0.022478,-0.001444,-0.001115,-0.002430
71,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000071_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000071_0.tif,4188.691298,4188.691684,0.001514,-0.000341,-0.000458,0.001186,-0.022806,-0.002758,-0.002758,-0.005059,0.001514,-0.000341,-0.000458,0.001186,-0.022806,-0.002758,-0.002758,-0.005059
