"E0",,,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
323,0.00386798,0.135379,35.1353,34.9999
324,0.00387068,0.135474,35.1354,34.9999
325,0.0038699,0.135446,35.1354,34.9999
326,0.00386003,0.135101,35.135,34.9999
327,0.00386691,0.135342,35.1353,34.9999
328,0.00388298,0.135904,35.1358,34.9999
329,0.00391369,0.136979,35.1369,34.9999
330,0.00392623,0.137418,35.1373,34.9999
331,0.00410264,0.143592,35.1435,34.9999
332,0.00438104,0.153336,35.1533,34.9999
333,0.00466072,0.163125,35.1631,34.9999
334,0.00482926,0.169024,35.169,34.9999
335,0.00480358,0.168125,35.1681,34.9999
336,0.00482321,0.168812,35.1687,34.9999
337,0.00481344,0.16847,35.1684,34.9999
338,0.00480464,0.168162,35.1681,34.9999
339,0.00480325,0.168114,35.168,34.9999
340,0.00479245,0.167735,35.1677,34.9999
341,0.00481654,0.168579,35.1685,34.9999
342,0.00483265,0.169143,35.1691,34.9999
343,0.00484525,0.169584,35.1695,34.9999
344,0.00483629,0.16927,35.1692,34.9999
345,0.00481141,0.168399,35.1683,34.9999
346,0.00479041,0.167664,35.1676,34.9999
347,0.00481521,0.168532,35.1685,34.9999
348,0.00480575,0.168201,35.1681,34.9999
349,0.00480149,0.168052,35.168,34.9999
350,0.00480065,0.168022,35.168,34.9999
351,0.00484015,0.169405,35.1693,34.9999
352,0.00481227,0.168429,35.1684,34.9999
353,0.004802,0.16807,35.168,34.9999
354,0.00480938,0.168328,35.1683,34.9999
355,0.00480282,0.168098,35.168,34.9999
356,0.00476965,0.166938,35.1669,34.9999
357,0.00482719,0.168951,35.1689,34.9999
358,0.0048185,0.168647,35.1686,34.9999
359,0.00481969,0.168689,35.1686,34.9999
360,0.00481164,0.168407,35.1683,34.9999
361,0.0047952,0.167832,35.1678,34.9999
362,0.00481405,0.168491,35.1684,34.9999
363,0.00483482,0.169218,35.1691,34.9999
364,0.0048251,0.168878,35.1688,34.9999
365,0.00482129,0.168745,35.1687,34.9999
366,0.00481472,0.168515,35.1684,34.9999
367,0.00484079,0.169427,35.1694,34.9999
368,0.00479083,0.167679,35.1676,34.9999
369,0.00482329,0.168815,35.1687,34.9999
370,0.00482116,0.16874,35.1687,34.9999
371,0.00481153,0.168403,35.1683,34.9999
372,0.00482094,0.168732,35.1687,34.9999
373,0.00482384,0.168834,35.1688,34.9999
374,0.00482576,0.168901,35.1688,34.9999
375,0.00481241,0.168434,35.1684,34.9999
376,0.00481716,0.1686,35.1685,34.9999
377,0.00477807,0.167232,35.1672,34.9999
378,0.00479931,0.167976,35.1679,34.9999
379,0.00483082,0.169078,35.169,34.9999
380,0.00477648,0.167177,35.1671,34.9999
381,0.00480079,0.168027,35.168,34.9999
382,0.00479484,0.167819,35.1677,34.9999
383,0.00480877,0.168307,35.1682,34.9999
384,0.00478743,0.16756,35.1675,34.9999
385,0.00486605,0.170311,35.1702,34.9999
386,0.00481074,0.168376,35.1683,34.9999
387,0.0048041,0.168143,35.1681,34.9999
388,0.00479485,0.167819,35.1677,34.9999
389,0.00480992,0.168347,35.1683,34.9999
390,0.00474947,0.166231,35.1662,34.9999
391,0.00474601,0.16611,35.166,34.9999
392,0.00468174,0.16386,35.1638,34.9999
393,0.00479628,0.167869,35.1678,34.9999
394,0.00480195,0.168068,35.168,34.9999
395,0.00483569,0.169249,35.1692,34.9999
396,0.00481068,0.168373,35.1683,34.9999
397,0.00477734,0.167207,35.1671,34.9999
398,0.00478443,0.167455,35.1674,34.9999
399,0.00479634,0.167871,35.1678,34.9999
400,0.00478576,0.167501,35.1674,34.9999
401,0.0047959,0.167856,35.1678,34.9999
402,0.00481244,0.168435,35.1684,34.9999
403,0.00478344,0.16742,35.1674,34.9999
404,0.00482382,0.168833,35.1688,34.9999
405,0.00476953,0.166933,35.1669,34.9999
406,0.00483752,0.169313,35.1692,34.9999
407,0.00483557,0.169245,35.1692,34.9999
408,0.0047952,0.167832,35.1678,34.9999
409,0.00481753,0.168613,35.1685,34.9999
410,0.00482043,0.168715,35.1686,34.9999
411,0.00476297,0.166704,35.1666,34.9999
412,0.00483075,0.169076,35.169,34.9999
413,0.00477067,0.166973,35.1669,34.9999
414,0.00481778,0.168622,35.1686,34.9999
415,0.00482435,0.168852,35.1688,34.9999
416,0.00478611,0.167514,35.1674,34.9999
417,0.00480997,0.168348,35.1683,34.9999
418,0.00478762,0.167567,35.1675,34.9999
419,0.0047877,0.167569,35.1675,34.9999
420,0.00480567,0.168198,35.1681,34.9999
421,0.00479633,0.167871,35.1678,34.9999
422,0.00480167,0.168058,35.168,34.9999
423,0.00479017,0.167656,35.1676,34.9999
424,0.00480694,0.168243,35.1682,34.9999
425,0.00477771,0.16722,35.1671,34.9999
426,0.00478177,0.167362,35.1673,34.9999
427,0.00480743,0.16826,35.1682,34.9999
428,0.00479194,0.167718,35.1676,34.9999
429,0.00477443,0.167105,35.167,34.9999
430,0.00478572,0.1675,35.1674,34.9999
431,0.00479096,0.167683,35.1676,34.9999
432,0.00484698,0.169644,35.1696,34.9999
433,0.00473486,0.16572,35.1656,34.9999
434,0.00478156,0.167354,35.1673,34.9999
435,0.00478841,0.167594,35.1675,34.9999
436,0.00477837,0.167243,35.1672,34.9999
437,0.00479247,0.167736,35.1677,34.9999
438,0.00477966,0.167288,35.1672,34.9999
439,0.00474249,0.165987,35.1659,34.9999
440,0.00480784,0.168274,35.1682,34.9999
441,0.00481284,0.168449,35.1684,34.9999
442,0.00481562,0.168546,35.1685,34.9999
443,0.004782,0.16737,35.1673,34.9999
444,0.00478806,0.167582,35.1675,34.9999
445,0.00477194,0.167017,35.1669,34.9999
446,0.00479443,0.167805,35.1677,34.9999
447,0.00478945,0.167631,35.1676,34.9999
448,0.00478783,0.167574,35.1675,34.9999
449,0.00481963,0.168687,35.1686,34.9999
450,0.00481316,0.16846,35.1684,34.9999
451,0.00480345,0.16812,35.168,34.9999
452,0.00478178,0.167362,35.1673,34.9999
453,0.00481168,0.168408,35.1683,34.9999
454,0.00479677,0.167887,35.1678,34.9999
455,0.00480631,0.168221,35.1682,34.9999
456,0.00478731,0.167555,35.1675,34.9999
457,0.00480416,0.168145,35.1681,34.9999
458,0.00478048,0.167316,35.1672,34.9999
459,0.00477523,0.167133,35.1671,34.9999
460,0.00478077,0.167327,35.1673,34.9999
461,0.00478704,0.167546,35.1675,34.9999
462,0.00479291,0.167751,35.1677,34.9999
463,0.00480011,0.168003,35.1679,34.9999
464,0.00480544,0.16819,35.1681,34.9999
465,0.00479211,0.167724,35.1677,34.9999
466,0.00479239,0.167733,35.1677,34.9999
467,0.00479165,0.167708,35.1676,34.9999
468,0.00480078,0.168027,35.168,34.9999
469,0.0047984,0.167944,35.1679,34.9999
470,0.00479984,0.167994,35.1679,34.9999
471,0.00478349,0.167422,35.1674,34.9999
472,0.00478755,0.167564,35.1675,34.9999
473,0.00477599,0.167159,35.1671,34.9999
474,0.00478176,0.167361,35.1673,34.9999
475,0.00477539,0.167138,35.1671,34.9999
476,0.00479966,0.167988,35.1679,34.9999
477,0.00481362,0.168476,35.1684,34.9999
478,0.00480808,0.168282,35.1682,34.9999
479,0.00481506,0.168527,35.1685,34.9999
480,0.00478684,0.167539,35.1675,34.9999
481,0.00477859,0.16725,35.1672,34.9999
482,0.00481329,0.168465,35.1684,34.9999
483,0.00478688,0.167541,35.1675,34.9999
484,0.00481539,0.168538,35.1685,34.9999
485,0.00480235,0.168082,35.168,34.9999
486,0.00481422,0.168497,35.1684,34.9999
